Lp.,Nazwa Podmiotu,Dyscyplina,Kategoria naukowa
65,"Akademia Pedagogiki Specjalnej im. Marii Grzegorzewskiej wWarszawie",pedagogika,B+
66,"Akademia Pedagogiki Specjalnej im. Marii Grzegorzewskiej wWarszawie",psychologia,B
67,"Akademia Pedagogiki Specjalnej im. Marii Grzegorzewskiej wWarszawie","sztuki plastyczne i konserwacja dziełsztuki",A
68,Akademia Pomorska w Słupsku,historia,B+
69,Akademia Pomorska w Słupsku,językoznawstwo,B
70,Akademia Pomorska w Słupsku,literaturoznawstwo,B+
71,Akademia Pomorska w Słupsku,matematyka,B
72,Akademia Pomorska w Słupsku,nauki biologiczne,B
73,Akademia Pomorska w Słupsku,nauki medyczne,B
74,Akademia Pomorska w Słupsku,nauki o bezpieczeństwie,B+
75,Akademia Pomorska w Słupsku,nauki o Ziemi i środowisku,B
76,Akademia Pomorska w Słupsku,nauki prawne,A
77,Akademia Pomorska w Słupsku,pedagogika,B
78,"Akademia Sztuk Pięknych im. Eugeniusza Gepperta weWrocławiu","sztuki plastyczne i konserwacja dziełsztuki",A
79,Akademia Sztuk Pięknych im. Jana Matejki w Krakowie,"sztuki plastyczne i konserwacja dziełsztuki",A
80,"Akademia Sztuk Pięknych im. Władysława Strzemińskiego wŁodzi","sztuki plastyczne i konserwacja dziełsztuki",A
81,Akademia Sztuk Pięknych w Gdańsku,"sztuki plastyczne i konserwacja dziełsztuki",A+
82,Akademia Sztuk Pięknych w Katowicach,"sztuki plastyczne i konserwacja dziełsztuki",A+
83,Akademia Sztuk Pięknych w Warszawie,"sztuki plastyczne i konserwacja dziełsztuki",B+
84,"Akademia Sztuk Teatralnych im. Stanisława Wyspiańskiego wKrakowie",sztuki filmowe i teatralne,A
85,Akademia Sztuki w Szczecinie,sztuki muzyczne,B+
86,Akademia Sztuki w Szczecinie,"sztuki plastyczne i konserwacja dziełsztuki",A+
87,Akademia Sztuki Wojennej,historia,B
88,Akademia Sztuki Wojennej,nauki o bezpieczeństwie,A+
89,Akademia Sztuki Wojennej,nauki o zarządzaniu i jakości,B+
Lp.,Nazwa Podmiotu,Dyscyplina,Kategoria naukowa
91,Akademia Teatralna im. Aleksandra Zelwerowicza w Warszawie,nauki o sztuce,B
